multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate
10.0,bu2209,2022-09-15,,SHFE,2020-09-16,BU,2.0,BU2209.SHF,石油沥青2209,2022-09-20
10.0,bu2212,2022-12-15,,SHFE,2020-12-16,BU,2.0,BU2212.SHF,石油沥青2212,2022-12-20
10.0,bu2303,2023-03-15,,SHFE,2021-03-16,BU,2.0,BU2303.SHF,石油沥青2303,2023-03-20
10.0,bu2306,2023-06-15,,SHFE,2021-06-16,BU,2.0,BU2306.SHF,石油沥青2306,2023-06-20
10.0,bu2202,2022-02-15,,SHFE,2021-08-17,BU,2.0,BU2202.SHF,石油沥青2202,2022-02-18
10.0,bu2309,2023-09-15,,SHFE,2021-09-16,BU,2.0,BU2309.SHF,石油沥青2309,2023-09-20
10.0,bu2204,2022-04-15,,SHFE,2021-10-18,BU,2.0,BU2204.SHF,石油沥青2204,2022-04-20
10.0,bu2312,2023-12-15,,SHFE,2021-12-16,BU,2.0,BU2312.SHF,石油沥青2312,2023-12-20
10.0,bu2207,2022-07-15,,SHFE,2022-01-18,BU,2.0,BU2207.SHF,石油沥青2207,2022-07-20
10.0,bu2205,2022-05-16,,SHFE,2021-11-16,BU,2.0,BU2205.SHF,石油沥青2205,2022-05-19
10.0,bu8888,2099-01-01,,SHFE,2013-10-09,BU,2.0,BU8888.SHF,石油沥青主力,2099-01-01
10.0,bu0000,2099-01-01,,SHFE,2013-10-09,BU,2.0,BU0000.SHF,石油沥青指数,2099-01-01
10.0,bu9999,2099-01-01,,SHFE,2013-10-09,BU,2.0,BU9999.SHF,石油沥青前复权主力,2099-01-01
10.0,SR111,2021-11-12,,CZCE,2020-11-16,SR,1.0,SR2111.CZC,白砂糖111,2021-11-12
10.0,SR201,2022-01-17,,CZCE,2021-01-18,SR,1.0,SR2201.CZC,白砂糖201,2022-01-17
10.0,SR203,2022-03-14,,CZCE,2021-03-15,SR,1.0,SR2203.CZC,白砂糖203,2022-03-14
10.0,SR205,2022-05-18,,CZCE,2021-05-20,SR,1.0,SR2205.CZC,白砂糖205,2022-05-18
10.0,SR207,2022-07-14,,CZCE,2021-07-15,SR,1.0,SR2207.CZC,白砂糖207,2022-07-14
10.0,SR209,2022-09-15,,CZCE,2021-09-15,SR,1.0,SR2209.CZC,白砂糖209,2022-09-15
10.0,SR301,2023-01-13,,CZCE,2022-01-18,SR,1.0,SR2301.CZC,白砂糖301,2023-01-13
10.0,SR211,2022-11-14,,CZCE,2021-11-15,SR,1.0,SR2211.CZC,白砂糖211,2022-11-14
10.0,SR8888,2099-01-01,,CZCE,2006-01-06,SR,1.0,SR8888.CZC,白砂糖主力,2099-01-01
10.0,SR0000,2099-01-01,,CZCE,2006-01-06,SR,1.0,SR0000.CZC,白砂糖指数,2099-01-01
10.0,SR9999,2099-01-01,,CZCE,2006-01-06,SR,1.0,SR9999.CZC,白砂糖前复权主力,2099-01-01
100.0,i2110,2021-10-21,,DCE,2020-10-23,I,0.5,I2110.DCE,铁矿石2110,2021-10-26
100.0,i2111,2021-11-12,,DCE,2020-11-16,I,0.5,I2111.DCE,铁矿石2111,2021-11-17
100.0,i2112,2021-12-14,,DCE,2020-12-15,I,0.5,I2112.DCE,铁矿石2112,2021-12-17
100.0,i2201,2022-01-17,,DCE,2021-01-18,I,0.5,I2201.DCE,铁矿石2201,2022-01-20
100.0,i2203,2022-03-14,,DCE,2021-03-15,I,0.5,I2203.DCE,铁矿石2203,2022-03-17
