multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate,minmov,pricescale
15.0,ag2204,2022-04-15,,SHFE,2021-04-16,AG,1.0,AG2204.SHF,白银2204,2022-04-20,1,1
15.0,ag2206,2022-06-15,,SHFE,2021-06-16,AG,1.0,AG2206.SHF,白银2206,2022-06-20,1,1
15.0,ag2207,2022-07-15,,SHFE,2021-07-16,AG,1.0,AG2207.SHF,白银2207,2022-07-20,1,1
15.0,ag2205,2022-05-16,,SHFE,2021-05-18,AG,1.0,AG2205.SHF,白银2205,2022-05-19,1,1
15.0,ag2208,2022-08-15,,SHFE,2021-08-17,AG,1.0,AG2208.SHF,白银2208,2022-08-18,1,1
15.0,ag2209,2022-09-15,,SHFE,2021-09-16,AG,1.0,AG2209.SHF,白银2209,2022-09-20,1,1
15.0,ag2210,2022-10-17,,SHFE,2021-10-18,AG,1.0,AG2210.SHF,白银2210,2022-10-20,1,1
15.0,ag2212,2022-12-15,,SHFE,2021-12-16,AG,1.0,AG2212.SHF,白银2212,2022-12-20,1,1
15.0,ag2301,2023-01-16,,SHFE,2022-01-18,AG,1.0,AG2301.SHF,白银2301,2023-01-19,1,1
15.0,ag2211,2022-11-15,,SHFE,2021-11-16,AG,1.0,AG2211.SHF,白银2211,2022-11-18,1,1
15.0,ag0000,2099-01-01,,SHFE,2012-05-10,AG,1.0,AG0000.SHF,白银指数,2099-01-01,1,1
60.0,jm2204,2022-04-18,,DCE,2021-04-16,JM,0.5,JM2204.DCE,焦煤2204,2022-04-21,5,10
60.0,jm2206,2022-06-15,,DCE,2021-06-16,JM,0.5,JM2206.DCE,焦煤2206,2022-06-20,5,10
60.0,jm2205,2022-05-18,,DCE,2021-05-20,JM,0.5,JM2205.DCE,焦煤2205,2022-05-23,5,10
60.0,jm2207,2022-07-14,,DCE,2021-07-15,JM,0.5,JM2207.DCE,焦煤2207,2022-07-19,5,10
60.0,jm2208,2022-08-12,,DCE,2021-08-16,JM,0.5,JM2208.DCE,焦煤2208,2022-08-17,5,10
60.0,jm2209,2022-09-15,,DCE,2021-09-15,JM,0.5,JM2209.DCE,焦煤2209,2022-09-20,5,10
60.0,jm2301,2023-01-17,,DCE,2022-01-18,JM,0.5,JM2301.DCE,焦煤2301,2023-01-20,5,10
60.0,jm2210,2022-10-21,,DCE,2021-10-22,JM,0.5,JM2210.DCE,焦煤2210,2022-10-26,5,10
60.0,jm2211,2022-11-14,,DCE,2021-11-15,JM,0.5,JM2211.DCE,焦煤2211,2022-11-17,5,10
60.0,jm2212,2022-12-14,,DCE,2021-12-15,JM,0.5,JM2212.DCE,焦煤2212,2022-12-19,5,10
60.0,jm0000,2099-01-01,,DCE,2013-03-22,JM,0.5,JM0000.DCE,焦煤指数,2099-01-01,5,10
5.0,eb2204,2022-04-26,,DCE,2021-04-28,EB,1.0,EB2204.DCE,苯乙烯2204,2022-04-29,1,1
5.0,eb2205,2022-05-26,,DCE,2021-05-27,EB,1.0,EB2205.DCE,苯乙烯2205,2022-05-31,1,1
5.0,eb2207,2022-07-26,,DCE,2021-07-28,EB,1.0,EB2207.DCE,苯乙烯2207,2022-07-29,1,1
5.0,eb2206,2022-06-27,,DCE,2021-06-28,EB,1.0,EB2206.DCE,苯乙烯2206,2022-06-30,1,1
5.0,eb2209,2022-09-27,,DCE,2021-09-28,EB,1.0,EB2209.DCE,苯乙烯2209,2022-09-30,1,1
5.0,eb2208,2022-08-26,,DCE,2021-08-27,EB,1.0,EB2208.DCE,苯乙烯2208,2022-08-31,1,1
5.0,eb2301,2023-01-25,,DCE,2022-01-26,EB,1.0,EB2301.DCE,苯乙烯2301,2023-01-30,1,1
5.0,eb2210,2022-10-26,,DCE,2021-10-27,EB,1.0,EB2210.DCE,苯乙烯2210,2022-10-31,1,1
5.0,eb2212,2022-12-27,,DCE,2021-12-29,EB,1.0,EB2212.DCE,苯乙烯2212,2022-12-30,1,1
5.0,eb2211,2022-11-25,,DCE,2021-11-26,EB,1.0,EB2211.DCE,苯乙烯2211,2022-11-30,1,1
5.0,eb0000,2099-01-01,,DCE,2019-09-26,EB,1.0,EB0000.DCE,苯乙烯指数,2099-01-01,1,1
20.0,FG204,2022-04-18,,CZCE,2021-04-16,FG,1.0,FG2204.CZC,玻璃204,2022-04-18,1,1
20.0,FG206,2022-06-15,,CZCE,2021-06-16,FG,1.0,FG2206.CZC,玻璃206,2022-06-15,1,1
20.0,FG205,2022-05-18,,CZCE,2021-05-20,FG,1.0,FG2205.CZC,玻璃205,2022-05-18,1,1
20.0,FG207,2022-07-14,,CZCE,2021-07-15,FG,1.0,FG2207.CZC,玻璃207,2022-07-14,1,1
