time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1534982400,6527.2,6566.64,6350.0,6362.1,18097.51,116530014.25,force_direct,
1535068800,6693.6,6728.6,6451.0,6527.2,19730.23,129692080.73,force_direct,
1535155200,6732.9,6799.7,6670.0,6693.6,16480.86,110848836.89,force_direct,
1535241600,6707.0,6789.0,6557.0,6732.9,15595.78,104193264.65,force_direct,
1535328000,6909.4,6940.8,6652.7,6707.0,22800.47,154013519.07,force_direct,
1535414400,7079.9,7127.9,6872.0,6909.4,28175.44,197235107.63,force_direct,
1535500800,7039.0,7139.4,6924.27,7079.9,19818.37,139637219.31,force_direct,
1535587200,6986.0,7060.0,6802.1,7039.0,22854.28,158007419.0,force_direct,
1535673600,7014.6,7100.0,6881.6,6986.0,18254.06,127538522.88,force_direct,
1535760000,7197.4,7269.9,7011.3,7014.6,19364.06,138356034.18,force_direct,
1535846400,7300.0,7416.9,7135.3,7197.4,41072.4,299002871.87,force_direct,
1535932800,7267.8,7360.0,7200.0,7300.0,21271.83,154637944.1,force_direct,
1536019200,7358.9,7415.4,7246.2,7267.8,19794.39,145456029.46,force_direct,
1536105600,6704.0,7404.0,6700.0,7358.9,52342.89,366681692.0,force_direct,
1536192000,6516.1,6731.3,6302.2,6704.0,52420.4,337954015.21,force_direct,
1536278400,6397.0,6549.5,6322.8,6516.1,20670.2,132973646.11,force_direct,
1536364800,6184.94,6475.5,6119.5,6397.0,18144.31,114399079.77,force_direct,
1536451200,6239.9,6447.8,6140.5,6184.94,15135.09,95412358.05,force_direct,
1536537600,6314.9,6373.68,6219.0,6239.9,14192.29,89366606.45,force_direct,
1536624000,6290.9,6399.6,6170.0,6314.9,16468.42,103492072.05,force_direct,
1536710400,6332.42,6355.0,6202.8,6290.9,16311.19,102325343.4,force_direct,
1536796800,6489.0,6528.4,6332.42,6332.42,18255.96,117805914.08,force_direct,
1536883200,6480.1,6596.5,6376.2,6489.0,15462.8,100490027.89,force_direct,
1536969600,6512.8,6572.2,6465.6,6480.1,8300.74,54159419.75,force_direct,
1537056000,6498.4,6520.6,6401.9,6512.8,7468.63,48314667.72,force_direct,
1537142400,6252.0,6543.3,6202.8,6498.4,21912.19,138855236.34,force_direct,
1537228800,6335.4,6384.0,6228.1,6252.0,15888.19,100346177.39,force_direct,
1537315200,6390.9,6525.8,6110.0,6335.4,24762.07,156555659.59,force_direct,
1537401600,6493.91,6557.0,6340.0,6390.9,14512.89,93457852.14,force_direct,
1537488000,6762.1,6790.5,6473.8,6493.91,35185.72,234605337.62,force_direct,
1537574400,6723.0,6840.9,6636.0,6762.1,15318.46,103109243.08,force_direct,
1537660800,6710.0,6785.9,6661.5,6723.0,8502.31,57151074.42,force_direct,
1537747200,6585.1,6721.7,6555.0,6710.0,17465.9,115723074.92,force_direct,
1537833600,6442.8,6585.1,6328.0,6585.1,20057.57,128898926.13,force_direct,
1537920000,6462.4,6558.0,6382.5,6442.8,13037.25,84598401.99,force_direct,
1538006400,6691.2,6745.0,6436.7,6462.4,17308.93,113860257.37,force_direct,
1538092800,6635.2,6826.42,6541.9,6691.2,27570.88,184677238.97,force_direct,
1538179200,6597.3,6635.2,6466.0,6635.2,16762.81,109831355.24,force_direct,
1538265600,6622.4,6662.8,6529.6,6597.3,8273.92,54645264.98,force_direct,
1538352000,6601.9,6660.0,6500.0,6622.4,10244.91,67511869.64,force_direct,
1538438400,6527.6,6644.7,6467.9,6601.9,11894.45,78103071.99,force_direct,
1538524800,6503.2,6555.1,6424.6,6527.6,14235.1,92367971.94,force_direct,
1538611200,6590.4,6648.8,6495.2,6503.2,10825.91,71370798.22,force_direct,
1538697600,6639.9,6741.44,6506.6,6590.4,12488.12,82637324.34,force_direct,
1538784000,6595.2,6648.2,6563.7,6639.9,5803.75,38280794.85,force_direct,
1538870400,6609.4,6640.4,6525.0,6595.2,5836.29,38405707.71,force_direct,
1538956800,6673.2,6730.0,6585.9,6609.4,12727.19,84867099.68,force_direct,
1539043200,6663.0,6682.0,6605.0,6673.2,8143.39,54138899.1,force_direct,
1539129600,6630.07,6663.1,6513.53,6663.0,13858.0,91269880.6,force_direct,
1539216000,6251.9,6630.07,6220.4,6630.07,41620.81,263411060.64,force_direct,
1539302400,6291.9,6353.4,6220.3,6251.9,10405.37,65596414.91,force_direct,
1539388800,6326.5,6333.7,6280.3,6291.9,5817.92,36732503.39,force_direct,
1539475200,6336.4,6399.3,6302.5,6326.5,11229.96,71504393.2,force_direct,
1539561600,6742.0,7788.0,6294.6,6336.4,84815.55,587800439.81,force_direct,
1539648000,6754.2,6897.6,6669.1,6742.0,15678.41,105941612.46,force_direct,
1539734400,6736.0,6794.0,6674.3,6754.2,8886.42,59834386.04,force_direct,
1539820800,6613.2,6779.9,6566.7,6736.0,12542.02,83816613.33,force_direct,
1539907200,6525.1,6639.5,6518.2,6613.2,11250.27,73995276.09,force_direct,
1539993600,6586.7,6611.0,6511.0,6525.1,4648.16,30545359.06,force_direct,
1540080000,6590.9,6660.8,6581.2,6586.7,4422.88,29304687.66,force_direct,
1540166400,6567.3,6627.9,6535.1,6590.9,6078.42,39976390.53,force_direct,
1540252800,6550.0,6591.6,6525.3,6567.3,8863.29,58150098.92,force_direct,
1540339200,6554.1,6626.3,6536.0,6550.0,8539.0,56248255.79,force_direct,
1540425600,6528.0,6568.7,6462.9,6554.1,8718.33,56951294.18,force_direct,
1540512000,6531.5,6597.4,6511.0,6528.0,7424.02,48566430.72,force_direct,
1540598400,6500.2,6560.0,6476.9,6531.5,6971.86,45388946.91,force_direct,
1540684800,6490.1,6513.88,6451.0,6500.2,6836.31,44327184.62,force_direct,
1540771200,6346.5,6512.0,6320.8,6490.1,19539.04,125198760.71,force_direct,
1540857600,6330.1,6383.6,6302.0,6346.5,10759.75,68228331.12,force_direct,
1540944000,6368.39,6419.8,6242.1,6330.1,9974.6,63103796.22,force_direct,
1541030400,6406.1,6443.9,6352.9,6368.39,9184.77,58559193.75,force_direct,
1541116800,6427.0,6456.1,6389.9,6406.1,8162.36,52435142.88,force_direct,
1541203200,6389.1,6432.4,6323.0,6427.0,11469.93,72941495.74,force_direct,
1541289600,6491.7,6529.4,6357.9,6389.1,8998.35,57994489.65,force_direct,
1541376000,6470.2,6500.6,6435.3,6491.7,4820.49,31154083.0,force_direct,
1541462400,6522.2,6527.7,6447.4,6470.2,7387.02,47915589.46,force_direct,
1541548800,6572.9,6615.0,6511.0,6522.2,10731.78,70566536.11,force_direct,
1541635200,6475.3,6585.0,6460.0,6572.9,11613.23,75669897.32,force_direct,
1541721600,6418.7,6504.4,6385.0,6475.3,10498.41,67683873.09,force_direct,
1541808000,6431.1,6469.3,6414.4,6418.7,3264.36,21031407.99,force_direct,
1541894400,6447.9,6459.9,6357.8,6431.1,7342.84,47078299.92,force_direct,
1541980800,6446.9,6481.0,6418.8,6447.9,7310.48,47163665.29,force_direct,
1542067200,6459.07,6501.1,6397.1,6446.9,10123.14,65332208.83,force_direct,
