period,instrument
30m,L2204.DCE
30m,L2206.DCE
30m,L2205.DCE
30m,L2207.DCE
30m,L2208.DCE
30m,L2209.DCE
30m,L2301.DCE
30m,L2210.DCE
30m,L2211.DCE
30m,L2212.DCE
30m,L0000.DCE
30m,A2205.DCE
30m,A2207.DCE
30m,A2209.DCE
30m,A2301.DCE
30m,A2211.DCE
30m,A0000.DCE
30m,UR2204.CZC
30m,UR2206.CZC
30m,UR2205.CZC
30m,UR2207.CZC
30m,UR2208.CZC
30m,UR2209.CZC
30m,UR2301.CZC
30m,UR2210.CZC
30m,UR2211.CZC
30m,UR2212.CZC
30m,UR0000.CZC
30m,RM2205.CZC
30m,RM2207.CZC
30m,RM2208.CZC
30m,RM2209.CZC
30m,RM2301.CZC
30m,RM2211.CZC
30m,RM0000.CZC
60m,Y2205.DCE
60m,Y2207.DCE
60m,Y2208.DCE
60m,Y2209.DCE
60m,Y2301.DCE
60m,Y2211.DCE
60m,Y2212.DCE
60m,Y0000.DCE
60m,SP2204.SHF
60m,SP2206.SHF
60m,SP2205.SHF
60m,SP2207.SHF
60m,SP2208.SHF
60m,SP2209.SHF
60m,SP2301.SHF
60m,SP2210.SHF
60m,SP2212.SHF
60m,SP2211.SHF
60m,SP0000.SHF
60m,LU2205.INE
60m,LU2206.INE
60m,LU2209.INE
60m,LU2207.INE
60m,LU2208.INE
60m,LU2210.INE
60m,LU2302.INE
60m,LU2211.INE
60m,LU2212.INE
60m,LU2301.INE
60m,LU0000.INE
60m,B2204.DCE
60m,B2206.DCE
60m,B2205.DCE
60m,B2207.DCE
60m,B2208.DCE
60m,B2209.DCE
60m,B2301.DCE
60m,B2210.DCE
60m,B2211.DCE
60m,B2212.DCE
60m,B0000.DCE
60m,TA2204.CZC
60m,TA2206.CZC
60m,TA2205.CZC
60m,TA2207.CZC
60m,TA2208.CZC
60m,TA2209.CZC
60m,TA2301.CZC
60m,TA2210.CZC
60m,TA2211.CZC
60m,TA2212.CZC
60m,TA0000.CZC
60m,LH2205.DCE
60m,LH2207.DCE
60m,LH2209.DCE
60m,LH2301.DCE
60m,LH2211.DCE
60m,LH0000.DCE
60m,C2205.DCE
60m,C2207.DCE
60m,C2209.DCE
60m,C2301.DCE
60m,C2211.DCE
60m,C0000.DCE
60m,BU2206.SHF
60m,BU2209.SHF
60m,BU2212.SHF
60m,BU2303.SHF
60m,BU2306.SHF
60m,BU2309.SHF
60m,BU2204.SHF
60m,BU2312.SHF
60m,BU2207.SHF
60m,BU2205.SHF
60m,BU0000.SHF
60m,SR2205.CZC
60m,SR2207.CZC
60m,SR2209.CZC
60m,SR2301.CZC
60m,SR2211.CZC
60m,SR0000.CZC
60m,I2205.DCE
60m,I2204.DCE
60m,I2206.DCE
60m,I2207.DCE
60m,I2208.DCE
60m,I2209.DCE
60m,I2301.DCE
60m,I2210.DCE
60m,I2211.DCE
60m,I2212.DCE
60m,I0000.DCE
60m,MA2204.CZC
60m,MA2206.CZC
60m,MA2205.CZC
60m,MA2207.CZC
60m,MA2208.CZC
60m,MA2209.CZC
60m,MA2301.CZC
60m,MA2210.CZC
60m,MA2211.CZC
60m,MA2212.CZC
60m,MA0000.CZC
60m,M2205.DCE
60m,M2207.DCE
60m,M2208.DCE
60m,M2209.DCE
60m,M2301.DCE
60m,M2211.DCE
60m,M2212.DCE
60m,M0000.DCE
60m,FU2205.SHF
60m,FU2206.SHF
60m,FU2209.SHF
60m,FU2207.SHF
60m,FU2208.SHF
60m,FU2210.SHF
60m,FU2302.SHF
60m,FU2211.SHF
60m,FU2212.SHF
60m,FU2301.SHF
60m,FU0000.SHF
60m,JD2204.DCE
60m,JD2205.DCE
60m,JD2207.DCE
60m,JD2206.DCE
60m,JD2208.DCE
60m,JD2209.DCE
60m,JD2301.DCE
60m,JD2210.DCE
60m,JD2212.DCE
60m,JD2211.DCE
60m,JD0000.DCE
60m,SF2204.CZC
60m,SF2206.CZC
60m,SF2205.CZC
60m,SF2207.CZC
60m,SF2208.CZC
60m,SF2209.CZC
60m,SF2301.CZC
60m,SF2210.CZC
60m,SF2211.CZC
60m,SF2212.CZC
60m,SF0000.CZC
60m,PB2205.SHF
60m,PB2204.SHF
60m,PB2206.SHF
60m,PB2207.SHF
60m,PB2208.SHF
60m,PB2209.SHF
60m,PB2210.SHF
60m,PB2212.SHF
60m,PB2301.SHF
60m,PB2211.SHF
60m,PB0000.SHF
60m,PF2205.CZC
60m,PF2204.CZC
60m,PF2206.CZC
60m,PF2207.CZC
60m,PF2209.CZC
60m,PF2208.CZC
60m,PF2210.CZC
60m,PF2301.CZC
60m,PF2211.CZC
60m,PF2212.CZC
60m,PF0000.CZC
60m,PK2204.CZC
60m,PK2210.CZC
60m,PK2301.CZC
60m,PK2211.CZC
60m,PK2212.CZC
60m,PK0000.CZC
60m,AG2204.SHF
60m,AG2206.SHF
60m,AG2207.SHF
60m,AG2205.SHF
60m,AG2208.SHF
60m,AG2209.SHF
60m,AG2210.SHF
60m,AG2212.SHF
60m,AG2301.SHF
60m,AG2211.SHF
60m,AG0000.SHF
60m,JM2204.DCE
60m,JM2206.DCE
60m,JM2205.DCE
60m,JM2207.DCE
60m,JM2208.DCE
60m,JM2209.DCE
60m,JM2301.DCE
60m,JM2210.DCE
60m,JM2211.DCE
60m,JM2212.DCE
60m,JM0000.DCE
60m,EB2204.DCE
60m,EB2205.DCE
60m,EB2207.DCE
60m,EB2206.DCE
60m,EB2209.DCE
60m,EB2208.DCE
60m,EB2301.DCE
60m,EB2210.DCE
60m,EB2212.DCE
60m,EB2211.DCE
60m,EB0000.DCE
60m,FG2204.CZC
60m,FG2206.CZC
60m,FG2205.CZC
60m,FG2207.CZC
60m,FG2208.CZC
60m,FG2209.CZC
60m,FG2301.CZC
60m,FG2210.CZC
60m,FG2211.CZC
60m,FG2212.CZC
60m,FG0000.CZC
60m,SC2209.INE
60m,SC2212.INE
60m,SC2206.INE
60m,SC2303.INE
60m,SC2306.INE
60m,SC2309.INE
60m,SC2312.INE
60m,SC2403.INE
60m,SC2205.INE
